SPEEDELEC Booster; 35; 10900; FALSE; 13200; green; 1279
SPEEDELEC E-Scooter; 60; 15300; FALSE; 14800; marine; 309
E-BIKE Lankeleisi; 65; 24200; FALSE; 10000; black; 2399
E-BIKE Lankeleisi; 50; 21600; FALSE; 30000; flame; 859
FOLDING BIKE FOLDING BIKE Benetti; 24; 27; 11400; FALSE; rose; 1009
FOLDING BIKE FOLDING BIKE Benetti; 24; 6; 9400; FALSE; silver; 1195
FOLDING BIKE FOLDING BIKE Formula; 16; 21; 12200; FALSE; flame; 269
E-BIKE ElectrO; 20; 19300; FALSE; 14000; beige; 1025
SPEEDELEC Dualtron; 30; 14400; FALSE; 6500; dark gray; 1019
FOLDING BIKE FOLDING BIKE Intertool; 24; 21; 12900; FALSE; coral; 1565
E-BIKE Gazelle; 45; 25200; FALSE; 11000; yellow; 855
SPEEDELEC EcoRide; 15; 8300; FALSE; 15600; blue; 1055
SPEEDELEC Smart; 40; 9600; FALSE; 13000; brown; 1065
E-BIKE Felt; 60; 28300; FALSE; 9000; grey; 2229
SPEEDELEC Freego; 55; 9000; FALSE; 15800; grenadine; 1505
E-BIKE Mando Footloose; 20; 26800; FALSE; 12000; beige; 1559
FOLDING BIKE FOLDING BIKE Brompton; 20; 7; 10800; FALSE; orange; 1469
FOLDING BIKE FOLDING BIKE Comanche; 24; 6; 13500; FALSE; olive; 609
E-BIKE SkyBike; 40; 27200; FALSE; 31000; olive; 1089
FOLDING BIKE FOLDING BIKE Titan; 20; 24; 10400; FALSE; olive; 479
FOLDING BIKE FOLDING BIKE Titan; 20; 1; 11800; FALSE; khaki; 1115
SPEEDELEC EcoRide; 50; 8400; FALSE; 8600; brown; 1609
FOLDING BIKE FOLDING BIKE BMW; 20; 7; 14400; FALSE; lemon; 1085
E-BIKE Ecofect; 30; 19200; FALSE; 15000; lemon; 2919
E-BIKE Gazelle; 25; 22200; FALSE; 26000; silver; 1735
SPEEDELEC Speedway; 25; 6800; FALSE; 15200; blue; 915
E-BIKE Ferrari; 55; 20900; FALSE; 28000; olive; 3055
FOLDING BIKE FOLDING BIKE BMW; 16; 9; 11000; FALSE; emerald; 1459
SPEEDELEC Segway; 50; 11600; FALSE; 7300; marine; 375
FOLDING BIKE FOLDING BIKE VNV; 20; 27; 10100; FALSE; emerald; 1645
E-BIKE ION; 25; 20800; FALSE; 30000; coral; 2355
SPEEDELEC OIO; 10; 10400; FALSE; 8800; pink; 1099
FOLDING BIKE FOLDING BIKE Author; 20; 9; 11900; FALSE; brown; 209
SPEEDELEC Segway; 10; 11700; FALSE; 12000; pink; 1365
SPEEDELEC Peugeot; 60; 19800; FALSE; 12200; yellow; 885
FOLDING BIKE FOLDING BIKE West Bike; 20; 21; 15300; FALSE; lemon; 1039
FOLDING BIKE FOLDING BIKE Dahon; 14; 21; 12200; FALSE; golden; 1169
E-BIKE Porshe Design; 45; 28800; FALSE; 13000; dark gray; 2789
